Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
Spark advance at Wide Open Throttle (Main);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;8;10;;1;0;0;-;°;0.75;-66;$786A;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at Wide Open Throttle (Same as Main);;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;1;0;0;-;°;0.75;-66;$78EA;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
AFR;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;8;6;10;;-1;0;0;-;-;1;0;$52B9;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
AFR;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;8;6;10;;-1;0;0;-;-;1;0;$5481;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
AFR;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;8;6;10;;-1;0;0;-;-;1;0;$31481;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
AFR;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;8;6;10;;-1;0;0;-;-;1;0;$312B9;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection (Limp);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;$6B9C;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection (Main);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;$699C;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;$6A9C;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;$3299C;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;$32A9C;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;$32B9C;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;°;0.75;-66;$3376A;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;-1;0;0;-;°;0.75;-66;$3386A;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at middle throttle (Main unloaded);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;°;0.75;-66;$776A;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at middle throttle (Main loaded);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;°;0.75;-66;$766A;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;0;6;1;10;;-1;0;0;-;rpm;1;0;$4062;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;0;6;1;10;;-1;0;0;-;rpm;1;0;$30062;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;-;0.75;-66;$3366A;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;-1;0;0;-;°;0.75;-66;$338EA;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Torque Limiter (Forces 5500rpm limiter without ABS);;My maps;eZweidim;eViewText;eBars;eLoHi;0;0;0;0;0;0;8;4;10;;-1;0;0;-;-;1;0;$308F0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Torque Limiter (Forces 5500rpm limiter without ABS);;My maps;eZweidim;eViewText;eBars;eLoHi;0;0;0;0;0;0;8;4;10;;-1;0;0;-;-;1;0;$48F0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Boost Bypass Valve position;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;0.3922;0;$5F64;Load;;%;6.26;6;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;RPM;;rpm;350;750;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Boost Bypass Valve position;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;0.3922;0;$31F64;Load;;%;6.26;6;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;RPM;;rpm;350;750;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
MAF Limiter (Not used);;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;-;1;0;$31E5C;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
MAF Limiter;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;-;1;0;$5E5C;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
======= MAP 2 ======= ;;My maps;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;-1;0;0;-;-;1;0;$30000;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
======= MAP 1 ======= ;;My maps;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;-1;0;0;-;-;1;0;$3FFD;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
